data,hill_alpha,method,mean_regret,std_regret
S\&P 500 returns,2.7,NQ-FQI,0.21023543276919626,0.1992835018636816
S\&P 500 returns,2.7,mean-FQI,0.335698721292396,0.2727866068362701
Danish fire losses,1.4,NQ-FQI,1.0241294848608666,0.8531219167764168
Danish fire losses,1.4,mean-FQI,2.162136505272173,1.0094537271265154
Norwegian fire losses,1.3,NQ-FQI,0.3861254873470806,0.20067738383785563
Norwegian fire losses,1.3,mean-FQI,3.648999824028811,1.41257722783221
